"Date","UPRO","SSO","UWM","QLD","DDM","FAS","SPXL","MIDU","IXN","IXJ","VGT","IGV","IYW","XLK","FDN","VIS","IYJ","XLI","VHT","XBI","IBB","IYH","XLV","FBT","FXH","QCLN","IYK","VCR","XHB","ITB","IYC","XLY","ARGT","VBK","VIOG","VIOO","IJT","IJR","VOT","IVOG","IVOO","PDP","IJK","IJH","IWP","IWR","MDY","VIG","VONG","VONE","MGK","MGC","VUG","VOOG","SCHD","SCHG","SCHX","PRF","PKW","IVW","IWF","IWB","RPG","QQQ","OEF","VOO","SPY","IVV","RSP","DIA","VTHR","VTI","SCHB","IWV","ITOT"
2013-04-16,0.0406532714265549,0.0280816800683626,0.0336197857700532,0.0264117080531242,0.0218949964251247,0.0449081231035688,0.0410340611099587,0.0480832838383951,0.0143532732875049,0.0140968011452489,0.0145477594073432,0.0163450595237317,0.0146151111546165,0.012310885604908,0.0136601750513827,0.0145874527936857,0.0159782477157427,0.0134921457900047,0.0149722454091351,0.0168420362782818,0.019602581926096,0.0157483270790459,0.0143462582555884,0.0182987715828032,0.0148963686848612,0.0233613499131738,0.0195820996014457,0.0132748381108366,0.0200322987625975,0.0228863467703044,0.0141011725993793,0.0142431565596471,0.00121568404029797,0.0170005024700571,0.00684003432322766,0.0136290305575802,0.0179366633346461,0.0160479877927187,0.0197182377205786,0.0139807595035706,0.016117538164617,0.0182356078907771,0.0165862547297052,0.0156427770704535,0.0166971864630623,0.0158048950150184,0.0152001261672481,0.0138858720054635,0.00932279853512458,0.0143546334365435,0.0149852455742978,0.0119493390092753,0.0156830245785841,0.0105591745069732,0.0125669266983334,0.0146263712561618,0.0139674570489222,0.0130571336358341,0.0149980172003173,0.0157866548902502,0.014902651525368,0.0149720979144272,0.0154422543576591,0.0131857739814969,0.0137327983290709,0.0139725621951637,0.0146549130767898,0.0144528926653615,0.014892761166965,0.0105741886813854,0.0100237646319655,0.0146878418426566,0.0151136378100481,0.0152081451342325,0.0140412300132253
2013-04-17,-0.044263789950094,-0.0297583606344176,-0.0370833258882292,-0.0398838452857305,-0.0191742148514768,-0.0560308695012611,-0.0466169547814196,-0.0501464164043321,-0.0199177627599171,-0.0121086766652417,-0.0226117344616082,-0.0173942989214973,-0.0249034694074269,-0.0207157087107078,-0.0141344634853211,-0.0164096581183502,-0.0167394505025765,-0.0167080049665707,-0.00433894566208239,0.00382412579835596,-0.00489461362103778,-0.00471857712354436,-0.00461898774988378,-0.00819305425477239,-0.00885883878135199,-0.0315768228665648,-0.0119146952537099,-0.0105585329112183,-0.0126052441550646,-0.0120510717079254,-0.00971765961627121,-0.010287250449871,-0.0221138625051631,-0.0160600561914323,-0.0124241277168912,-0.0173663548152558,-0.0164853876286393,-0.0170070335557012,-0.015689724229452,-0.0156927240790383,-0.0171924005403729,-0.0123377861732738,-0.0165862547297052,-0.0170852944760655,-0.01508794036107,-0.0156440261464354,-0.0154471329628213,-0.00974577562191456,-0.0115290321325521,-0.0147758198328267,-0.0168322950302575,-0.0145824795188165,-0.0159443781172894,-0.0134212684539137,-0.00783573982543516,-0.0162648751279645,-0.0145086367011676,-0.0146470884981312,-0.0149980172003172,-0.0146856210497151,-0.0141946302568528,-0.0153202439128587,-0.0167246581476318,-0.0197709591641334,-0.014445867878002,-0.014817121639601,-0.0147193426943788,-0.0151584965438748,-0.0165992974027387,-0.00961450254795986,-0.0166216828144222,-0.0150640756191131,-0.0151136378100482,-0.0146649170011368,-0.0150315391840565
2013-04-18,-0.0186107147878963,-0.0128071555611084,-0.00289547543281953,-0.0285345446550026,-0.0101270024039487,-0.0247589655025777,-0.0158541544591445,-0.0187622764555229,-0.0107774278697029,-0.00544376317322183,-0.0147387509295182,-0.0119183881336747,-0.0138364949040837,-0.0105211219958724,-0.0232820302978048,-0.0052246852413275,-0.0059830870353419,-0.00446986087562638,-0.0126546428169646,-0.00943956819985168,-0.0130697493349026,-0.0126590374683754,-0.0122805059353044,-0.0152900095802366,-0.0115820985632833,-0.0138442451113412,-0.00223509295759119,-0.0111481586926545,-0.0127660955869534,-0.0231670592815343,-0.0126933429670764,-0.0109641552031908,-0.00373360720791123,-0.00828575741173482,-0.0123167439157427,-0.00267804123633313,-0.00907719563620086,-0.00613611976271067,-0.00739801597151194,-0.00940214794580268,-0.00512127797050012,-0.00556921978138737,-0.00664723610527042,-0.00497441452166149,-0.00571735047107443,-0.00483829675126289,-0.00669399291439219,-0.0030650751965508,-0.0074824235063216,-0.00633934639492138,-0.00979575490148644,-0.00718198142072375,-0.0102443633655799,-0.00959959393737415,-0.00220513556043813,-0.0093355977304317,-0.00624402717569162,-0.00551201001399274,-0.00892860084893554,-0.00884200774726708,-0.00795806399634974,-0.00582073806828539,-0.0112453947748078,-0.0138973704317831,-0.00629644315025717,-0.00820142450248254,-0.00627327522145859,-0.00579269808967859,-0.00479369180932404,-0.00528977310445324,0.00140743163848423,-0.00629170307165209,-0.00697059141401177,-0.00632011471549988,-0.00610493821689972
2013-04-19,0.0253807936018039,0.0162970732513445,0.016107730815933,0.0273617205279379,0.000571702982472606,0.0373804008282167,0.0230264524387121,0.0446530305598397,-0.000891000976409505,0.0108581575272221,-0.00129829082356953,0.00393825104636163,-0.00230089252211764,0.00136382566935352,0.00629387222030986,0.00418190622403539,0.00445886469624435,0.00496527826263774,0.0185135771236346,0.0450098861835652,0.0452185278415832,0.02007834145531,0.0139625501014816,0.0589306611725175,0.0168027056334478,0.00740744127786182,0.0153102617972513,0.0120912449126637,0.0239786166999195,0.0240647702732019,0.0126933429670765,0.0119037963421413,0.00992563918422533,0.0100598877829069,0.014398128876371,0.0127899157167957,0.0131963441922215,0.0113998715980579,0.0150076779640194,0.021064469429675,0.0151527939130729,0.0143511269281596,0.0198106656026901,0.0137771662134386,0.0119831924647702,0.0100535692166357,0.0163335304035988,0.00459411225014937,0.00748242350632164,0.0080231267724992,0.00423406523759191,0.00812323325492194,0.00710343682053732,0.0104182160896293,0.01222391081621,0.0107011585052458,0.00948639694412179,0.00955427043339368,0.0130681396421272,0.0101860118594081,0.0088069180311283,0.00918130665514633,0.0143569924166826,0.0136036112455204,0.00743704779545272,0.0105925712499253,0.00865580639500196,0.00803630295653513,0.00905445674279551,-0.000275516680594343,0.00519048654397252,0.00954783611120337,0.00990510065603684,0.00816508782637094,0.00935507885792105
2013-04-22,0.00484253672942833,0.00355768387492679,0.00120257100591905,0.00636521347606539,0.00110305342738655,0.000872437713718959,0.0044696344719465,0.00247286012979968,0.00236862587688098,0.0012269414842945,0.00282672189374718,0.00180914052390508,0.00343744094638045,0.00260197033618276,0.00152483713602309,0.000130382252550346,0.00055039490225136,0.00041248200108443,0.00155419333506692,0.00200882908368206,0.00267398913470111,0.00156128640269435,0.00202465808425504,-0.00128588040571178,8.675430879172e-05,0.00850076427031202,0.00119632738157879,0.00141093680110497,0.00243013280649145,0.00416113285616682,0.000948028441223912,0.00143691219002194,0.00571207350486472,0.00121419706880018,0.000476168313709429,-0.00145937214866642,0.000665926954759014,0.00047693661580756,0.00119481043163103,0.00147318581140342,0.0011072000259292,0.00129283723733035,0.00140574436347042,0.00124966079224895,0.00120834378920623,0.00125138264840252,0.000733366235958666,0.0009662681559619,0.00306882269063393,0.00200340709752692,0.00224582291763554,0.00150176712156277,0.00183006124169303,0.00253588596241682,0.00176067941106607,0.00217630437079896,0.00143562357399485,0.000959080855417522,0.0012762102853285,0.00227144547324332,0.00230192826973987,0.00142374819625814,0.00224630663182554,0.00340936644194113,0.00189449214289788,0.00149518753115672,0.0014760214786523,0.00176688688503689,0.00147068511664393,0.000413156187488527,0.00167481623548568,0.00141400500512339,0.00159449320972065,0.0017662400138839,0.00145470304316474
2013-04-23,0.0296116269822867,0.020199949834054,0.0322638707458932,0.0192219633874809,0.0204100446733188,0.0454416286951971,0.0326297412653083,0.0328155980117954,0.0114404301890012,0.00745147584617521,0.0137873409481161,0.0113619850741154,0.0126019366837346,0.010760023113987,0.0253778584257599,0.00960046319311456,0.0097240897641898,0.00714731314754448,0.00695330210071154,0.00664322443169589,0.00464510082536397,0.00663925535816119,0.00624481642771618,0.0101382097186881,0.00855265051516755,0.0301174224641574,0.0110333151964556,0.0109685463086622,0.0252745694154798,0.03739566169026,0.00918784814966414,0.0100484099119035,0.0108631122573709,0.0120812867852247,0.0169844540105627,0.0176599735188089,0.0157310319348666,0.0157223166999867,0.0148637664112513,0.00878104838510375,0.00911080430164163,0.00835212050818445,0.0112120872743207,0.0108109251094962,0.0122278156259656,0.0112574520087074,0.010058672310459,0.00940117606859553,0.00749480901525019,0.00887908139475937,0.00919045661077767,0.0109901638078631,0.0105038639477249,0.0075502315675917,0.00833212645842814,0.0105192605728408,0.0104208828250464,0.0110008397213653,0.00994453925194716,0.0104953011153614,0.00894859203155767,0.0103141071971858,0.0153114584128923,0.00954862592888824,0.010009232572987,0.0105733036973618,0.0102565066358072,0.0101395416834603,0.0102754547685993,0.0101328810938254,0,0.0107734555645114,0.0105485155325782,0.0105139474106444,0.0104800788588077
2013-04-24,0.00192667480129897,0.00256393096395976,0.0109510128896182,-0.000807037409632557,-0.0049234070583575,0.0183848204579989,0.00252461633713846,0.0109584870554536,0.00581653531420151,-0.00797650539656134,0.00506901983374041,0.00681493007921876,0.00547254575645998,0.00167087755379878,-0.0028142372180414,0.0088695487011724,0.00925698390742807,0.0102614631173434,-0.0160655031608454,-0.0251193097555905,-0.0296726259218852,-0.0175355894879033,-0.0173734982104331,-0.0221566647390184,-0.00751204163976264,0.0155847310166983,-0.0134631573085383,0.00115981227220052,0.0110683672307173,0.0114578378154731,-0.00251572459724725,0.000740348009210039,0.0166671115170871,0.0024602575450187,0.0033117085841395,0.0100084799830095,0.00348660184350833,0.00631361831923925,0.000130582941523006,0.00320903948345218,0.00419727782523282,0.000319846476419264,0.000706377341194179,0.00369489298157487,0,0.0030697493989969,0.00414938350677094,-0.00272026757680662,-0.000814939585644132,0.00275856726656088,-0.000499109905537086,0.000555569984760932,0.000258016256532871,0.000671406550997089,-0.00246160124300116,0.000804613158602623,0.000797236657079235,0.00255429408617188,-0.00349851653490842,-0.00264359682918038,-0.00139292408896915,0.00079776630588962,-0.000894214508199198,-0.000432044380308758,-0.00126330287365218,0.000276698491618035,0.000633631135263727,-6.31167435303644e-05,0.00468155013778091,-0.00238708382744716,0.0127266621213728,0.0014768741145949,0.000786783835001346,0.000320183537921898,0
2013-04-25,0.0123914592362165,0.00698364374725238,0.01280565790264,0.0106008059866405,0.00324770989309909,0.0133973295718211,0.0112825566903117,0.0132955424812447,0.00347373341057218,0.00288413942562835,0.00364506231832324,-0.00429091417073941,0.00139835014810391,0.00333326975290628,0.0139927186509203,0.00459654795898117,0.00546384080589441,0.0050915131845381,0.00433284825446396,0.0146195504394817,0.0202451300633129,0.00501304448701235,0.00400375627029002,0.0102600933617554,0.0015588727703315,0.0119557359201488,0.00945468826363083,0.0109517955659388,0.0139121157377244,0.017566322983176,0.0071281863994517,0.0084746088018439,0.0152316937031569,0.00775120665885131,0.0120079307212755,0.00734492059172703,0.0095259216816306,0.00627389068489933,0.00767289023496943,0.00804147535792725,0.00925025149438433,0.00923129282224509,0.00804911962793371,0.00455586036189797,0.007265421335662,0.00587706917097054,0.00403631799725092,0.00452960161842603,0.00636556629036735,0.00658986459453359,0.00398608725783612,0.00277345102939988,0.00476042054470407,0.00174340555946973,0.00153914151698211,0.00588079748825416,0.00318212935761454,0.00523009186013131,0.00756471435255964,0.004082570610014,0.00597597514614953,0.00443307354751189,0.0112091024270086,0.00531576573426184,0.00294519529248324,0.00441744928065124,0.00404551109137462,0.0047180285604295,0.00548945901495405,0.00211451262891689,0.00548324875561099,0.00405034007022125,0.00496792746239419,0.00436468458529706,0.00512993845974547
2013-04-26,-0.00638443339770462,-0.0037543621465372,-0.00954360354209354,-0.00560764106647395,0.0016756971652584,-0.00937669658801797,-0.0042473517942924,-0.0132955424812447,-0.000578147155548256,-0.00117880683821881,-0.000139976212949204,0.00222164058231863,0.000977722040466809,-0.000332767518464255,-0.00767182671731938,-0.00127467192179678,-0.00384637233506275,-0.00290622638329691,-0.000467519869416897,0.000282742051353603,-5.7769948989581e-05,0.000299975010998398,-0.000210284993939293,0.0042149868847238,0.00207463772738753,-0.00596000061381456,-0.00126313390237827,-0.00367561859357475,0.00295615258798739,0.0156317042323277,-0.00340711816903532,-0.00441254631035991,-0.00583097845032634,-0.00162687379492178,-0.0070609046501485,-0.00760356759203979,-0.00453513352036977,-0.00545839582344711,-0.00467472596081295,-0.00382122477908935,-0.00807298665830376,-0.00285578499197479,-0.00452451048040375,-0.00402908482286729,-0.00455254753647796,-0.00454184022725931,-0.00408451117500762,-0.00331964992256572,-0.000810318769073771,-0.00548851534910368,-0.00165895854804299,-0.000184618222579193,-0.00282779097838862,-0.000133922948273994,-0.000615261557870553,-0.00186741417479547,-0.000794543789792307,-0.00197571330160864,-0.00319352867135992,-0.00191910822769975,-0.00208060280620313,-0.00192993193727658,-0.00265747346277584,-0.00315730742221069,-0.000140074218838031,-0.00220623364306136,-0.00176789408366826,-0.00213605662843613,-0.00332331642421757,0.00081739549572207,-0.00397234950184336,-0.00183903690350703,-0.00261159713304416,-0.00127553166263968,-0.00290838797651634
2013-04-29,0.00667045725835594,0.00418285202164644,0.00419518901936551,0.00599756115509649,0.00439842269830429,0.00416094168533866,0.00603746397715468,0.00756176094369455,0.00454695829244748,0.00235076504302808,0.0047249448438438,0.00348327552289994,0.00553801114866318,0.00473756666452308,0.000932207563203937,0.00148477494639216,0.00144720190797136,0.00169347570038152,0.0012446533180272,0.00181653174787946,0.000653981746574478,0.00133041156448397,0.00105007612480359,0.00215448385514653,0.00258069246032292,0.00592482800919256,0.00152853262722266,0.00111053769727599,0.000109307537734185,-0.000953744093677412,0.00053492487839166,0.00116496026939978,0.00349045257922128,0.00219755352955293,0.00193456683819505,0.00232045971682313,0.00197822361363434,0.0018580778185737,0.00203292649738873,0.0019087579705759,0.00221514488903947,0.00147962618768801,0.00194892265291117,0.00247745639453938,0.00208483032746193,0.00229433317150983,0.00241484655056394,0.00220947878046227,0.0021548537445255,0.00223974334478706,0.00281064182973442,0.00202521715327222,0.0025644396623927,0.00200413452940042,0.00204559296910496,0.00265958857726837,0.00202527799409977,0.002346105748121,0.00135422902520735,0.00243237317530377,0.0023521463407634,0.00218976886510185,0.00112165163836859,0.0030524322835407,0.00218702528854727,0.00215572809873164,0.00222544542547321,0.00229815175300462,0.00188103403735886,0.00221664199284472,0.00200694817164326,0.00212030888211663,0.00234525180259983,0.0020852318660602,0.0023954589917199
